state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Andhra Pradesh,Guntur,155359.0,98221.0,36.0,Safe
Andhra Pradesh,Vizianagaram,144156.0,38123.0,79.0,Semi-Critical
Andhra Pradesh,Visakhapatnam,168366.0,47361.0,71.0,Semi-Critical
Andhra Pradesh,East Godavari,146879.0,101056.0,25.0,Safe
Andhra Pradesh,Srikakulam,180577.0,137823.0,19.0,Safe
Andhra Pradesh,Nellore,115361.0,44229.0,59.0,Safe
Andhra Pradesh,Kurnool,177279.0,60269.0,64.0,Safe
Andhra Pradesh,Prakasam,202389.0,139986.0,29.0,Safe
Andhra Pradesh,Khammam,164969.0,105226.0,36.0,Safe
Andhra Pradesh,Adilabad,137725.0,89853.0,28.0,Safe
Andhra Pradesh,Krishna,118668.0,24967.0,83.0,Semi-Critical
Andhra Pradesh,West Godavari,163341.0,81635.0,45.0,Safe
Andhra Pradesh,Mehaboobnagar,190929.0,76000.0,59.0,Safe
Andhra Pradesh,Kadapa,246888.0,140287.0,27.0,Safe
Andhra Pradesh,Nalgonda,120367.0,34153.0,69.0,Safe
Andhra Pradesh,Warangal,161414.0,112453.0,28.0,Safe
Andhra Pradesh,Karimnagar,64346.0,18452.0,70.0,Semi-Critical
Andhra Pradesh,Nizamabad,100213.0,69867.0,25.0,Safe
Andhra Pradesh,Rangareddy,84484.0,58753.0,22.0,Safe
Andhra Pradesh,Chittoor,90047.0,67213.0,19.0,Safe
Andhra Pradesh,Anantapur,175768.0,62290.0,62.0,Safe
Andhra Pradesh,Medak,147200.0,88338.0,36.0,Safe
Arunachal Pradesh,Tirap,9900.0,9855.0,0.03,Safe
Arunachal Pradesh,Changlang,25226.0,25142.0,0.1,Safe
Arunachal Pradesh,Lohit,175824.0,175717.0,0.0,Safe
Arunachal Pradesh,Anjaw,0.0,0.0,0.0,Safe
Arunachal Pradesh,Dibang Valley,0.0,0.0,0.0,Safe
Arunachal Pradesh,Lower Dibang Valley,91001.0,90864.0,0.04,Safe
Arunachal Pradesh,East Siang,66732.0,66603.0,0.19,Safe
Arunachal Pradesh,West Siang,5489.0,5471.0,0.0,Safe
